Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
mb,13832695,2,"Sunday, March 31, 2013 14:32:48 UTC",44.8368,-112.4561,1.5,12.00,22,"western Montana"
uu,60017472,4,"Sunday, March 31, 2013 14:28:29 UTC",44.7977,-110.9947,1.9,10.20,24,"Yellowstone National Park, Wyoming"
us,2013nkap,6,"Sunday, March 31, 2013 14:27:50 UTC",-5.4861,147.1408,4.6,213.70,52,"eastern New Guinea region, Papua New Guinea"
ak,10684531,2,"Sunday, March 31, 2013 14:14:02 UTC",61.9425,-149.4000,1.7,39.10,50,"Southern Alaska"
ci,11276282,1,"Sunday, March 31, 2013 14:12:58 UTC",35.5753,-118.5360,1.4,3.20,22,"Central California"
se,033113a,D,"Sunday, March 31, 2013 14:01:24 UTC",38.6450,-80.8332,3.4,8.10,13,"West Virginia"
ak,10686272,2,"Sunday, March 31, 2013 13:48:59 UTC",63.0840,-150.6154,1.0,104.70,17,"Central Alaska"
ak,10686271,2,"Sunday, March 31, 2013 13:40:27 UTC",62.0770,-152.1165,1.5,124.00,31,"Central Alaska"
us,2013nkan,5,"Sunday, March 31, 2013 13:29:23 UTC",2.8721,-84.2404,4.3,44.30,57,"off the coast of Central America"
ak,10686270,2,"Sunday, March 31, 2013 13:25:40 UTC",62.9323,-150.5721,1.0,93.20,23,"Central Alaska"
nc,71963835,0,"Sunday, March 31, 2013 13:21:15 UTC",38.8122,-122.8210,1.2,3.00,17,"Northern California"
hv,60484696,4,"Sunday, March 31, 2013 13:07:42 UTC",18.7978,-156.8008,3.3,35.30,23,"Hawaii region, Hawaii"
nc,71963830,2,"Sunday, March 31, 2013 13:06:30 UTC",36.8205,-120.8758,2.7,2.40,30,"Central California"
nc,71963825,7,"Sunday, March 31, 2013 13:05:59 UTC",36.8235,-120.8462,2.9,7.10,86,"Central California"
ci,11276234,1,"Sunday, March 31, 2013 12:57:16 UTC",34.1348,-116.9703,1.0,3.30,30,"Southern California"
ci,11276226,2,"Sunday, March 31, 2013 12:52:25 UTC",35.5770,-118.5302,1.0,2.00,10,"Central California"
us,b000fwz9,8,"Sunday, March 31, 2013 12:48:20 UTC",-24.6680,-179.8985,4.4,476.20,122,"south of the Fiji Islands"
ci,11276218,1,"Sunday, March 31, 2013 12:38:09 UTC",32.8913,-116.2735,2.1,11.90,66,"Southern California"
nn,00407964,1,"Sunday, March 31, 2013 12:21:06 UTC",39.3349,-119.8979,1.3,11.20,20,"Nevada"
us,b000fwyu,7,"Sunday, March 31, 2013 12:16:23 UTC",10.7987,-62.1487,4.0,103.70,59,"offshore Sucre, Venezuela"
nn,00407962,1,"Sunday, March 31, 2013 12:14:03 UTC",38.6256,-118.4613,1.2,6.40, 6,"Nevada"
nc,71963790,2,"Sunday, March 31, 2013 12:05:25 UTC",38.8425,-122.8288,1.0,2.30,37,"Northern California"
ci,11276202,1,"Sunday, March 31, 2013 11:48:57 UTC",33.3402,-116.9018,1.9,9.10,67,"Southern California"
hv,60484681,1,"Sunday, March 31, 2013 11:47:17 UTC",19.3742,-155.0852,2.0,2.40,11,"Island of Hawaii, Hawaii"
us,b000fwyn,8,"Sunday, March 31, 2013 11:44:19 UTC",36.4586,69.4281,4.2,24.40,37,"Hindu Kush region, Afghanistan"
uu,60017457,4,"Sunday, March 31, 2013 11:31:08 UTC",39.3840,-111.1010,1.8,2.50,18,"Utah"
ak,10686268,2,"Sunday, March 31, 2013 11:17:43 UTC",63.5949,-149.9809,1.0,132.20,20,"Central Alaska"
ci,11276194,1,"Sunday, March 31, 2013 11:01:34 UTC",35.5742,-118.5302,1.1,1.50,15,"Central California"
ci,11276186,0,"Sunday, March 31, 2013 10:45:38 UTC",33.9980,-118.7583,1.7,11.80,34,"Santa Monica Bay, California"
ak,10686266,2,"Sunday, March 31, 2013 10:40:12 UTC",60.1004,-152.9549,1.7,107.70,30,"Southern Alaska"
ak,10684506,2,"Sunday, March 31, 2013 10:33:01 UTC",61.2909,-152.1135,1.6,124.50,32,"Southern Alaska"
ak,10686263,2,"Sunday, March 31, 2013 10:29:54 UTC",54.3665,-161.7533,1.9,41.20, 9,"Alaska Peninsula"
ak,10686262,2,"Sunday, March 31, 2013 10:23:03 UTC",61.0427,-152.4183,1.7,121.30,37,"Southern Alaska"
ak,10686261,2,"Sunday, March 31, 2013 10:23:01 UTC",54.9722,-161.0982,1.5,48.70,11,"Alaska Peninsula"
ak,10686260,2,"Sunday, March 31, 2013 10:10:59 UTC",53.7765,-163.6771,2.0,13.20,11,"Unimak Island region, Alaska"
hv,60484661,7,"Sunday, March 31, 2013 10:02:56 UTC",19.4043,-155.3228,1.9,6.80,52,"Island of Hawaii, Hawaii"
us,b000fwy6,6,"Sunday, March 31, 2013 09:52:12 UTC",-6.9355,129.5814,4.5,139.60,44,"Banda Sea"
ci,11276154,1,"Sunday, March 31, 2013 09:49:28 UTC",35.5647,-118.5318,1.7,2.10,24,"Central California"
ci,11276146,1,"Sunday, March 31, 2013 09:48:53 UTC",35.5767,-118.5263,1.9,0.00,34,"Central California"
nc,71963710,3,"Sunday, March 31, 2013 09:31:57 UTC",36.2595,-120.8147,1.3,7.50,24,"Central California"
uw,60513412,3,"Sunday, March 31, 2013 09:22:23 UTC",48.4882,-123.7325,1.0,16.00,24,"Vancouver Island, Canada region"
ak,10686257,2,"Sunday, March 31, 2013 09:19:46 UTC",62.4108,-150.2648,1.0,14.30,20,"Central Alaska"
ak,10684498,2,"Sunday, March 31, 2013 08:53:22 UTC",63.1340,-152.0528,1.1,1.50,26,"Central Alaska"
nc,71963690,5,"Sunday, March 31, 2013 08:37:22 UTC",40.5963,-124.0677,1.9,23.00,29,"Northern California"
ak,10684488,2,"Sunday, March 31, 2013 08:27:56 UTC",60.5156,-151.1566,2.3,55.60,55,"Kenai Peninsula, Alaska"
ak,10684487,2,"Sunday, March 31, 2013 08:21:02 UTC",62.8583,-149.2456,1.0,64.50,37,"Central Alaska"
